,country,country_code,years,gdp,remesas
21,Mexico,MEX,1980,2.05E+11,1039000000
22,Mexico,MEX,1981,2.64E+11,1220000000
23,Mexico,MEX,1982,1.85E+11,1226000000
24,Mexico,MEX,1983,1.56E+11,1391000000
25,Mexico,MEX,1984,1.84E+11,1561000000
26,Mexico,MEX,1985,1.95E+11,1616000000
27,Mexico,MEX,1986,1.35E+11,1771000000
28,Mexico,MEX,1987,1.48E+11,1985000000
29,Mexico,MEX,1988,1.82E+11,2439000000
30,Mexico,MEX,1989,2.21E+11,2793000000
31,Mexico,MEX,1990,2.61E+11,3098000000
32,Mexico,MEX,1991,3.13E+11,3030000000
33,Mexico,MEX,1992,3.63E+11,3700000000
34,Mexico,MEX,1993,5.01E+11,3979000000
35,Mexico,MEX,1994,5.28E+11,4121819824
36,Mexico,MEX,1995,3.60E+11,4368120000
37,Mexico,MEX,1996,4.11E+11,4949000000
38,Mexico,MEX,1997,5.00E+11,5545800000
39,Mexico,MEX,1998,5.27E+11,6501246000
40,Mexico,MEX,1999,6.00E+11,6648625182
41,Mexico,MEX,2000,7.08E+11,7524742980
42,Mexico,MEX,2001,7.57E+11,10146263000
43,Mexico,MEX,2002,7.72E+11,11029448100
44,Mexico,MEX,2003,7.29E+11,16653686411
45,Mexico,MEX,2004,7.82E+11,19861747959
46,Mexico,MEX,2005,8.77E+11,22741840920
47,Mexico,MEX,2006,9.75E+11,26542811527
48,Mexico,MEX,2007,1.05E+12,26879863159
49,Mexico,MEX,2008,1.11E+12,26041489177
50,Mexico,MEX,2009,9.00E+11,22075734996
51,Mexico,MEX,2010,1.06E+12,22080259154
52,Mexico,MEX,2011,1.18E+12,23445660523
53,Mexico,MEX,2012,1.20E+12,23208649190
54,Mexico,MEX,2013,1.27E+12,23188811955
55,Mexico,MEX,2014,1.32E+12,24802081325
56,Mexico,MEX,2015,1.17E+12,26233171803
57,Mexico,MEX,2016,1.08E+12,28690957406
58,Mexico,MEX,2017,1.16E+12,32270507679
59,Mexico,MEX,2018,1.22E+12,35768416627
60,Mexico,MEX,2019,1.27E+12,39021789685
61,Mexico,MEX,2020,1.07E+12,42878274907
